,atlas_rn,rn
7071,AR7072,R01088
7075,AR7076,R01258
7077,AR7078,R00446
7086,AR7087,R02618
7090,AR7091,R00365
7091,AR7092,R00396
7092,AR7093,R00715
7093,AR7094,R02313
7115,AR7116,R00675
7116,AR7117,R00688
7117,AR7118,R09830
7122,AR7123,R01434
7140,AR7141,R02196
7181,AR7182,R03349
7183,AR7184,R01683
7201,AR7202,R00906
7250,AR7251,R00398
7280,AR7281,R00368
7287,AR7288,R04200
7296,AR7297,R00562
7316,AR7317,R04687
7358,AR7359,R04688
7559,AR7560,R09079
7560,AR7561,R09080
7623,AR7624,R00146
7626,AR7627,R07165
7631,AR7632,R00248
7638,AR7639,R00716
7639,AR7640,R02315
7644,AR7645,R02755
7670,AR7671,R11032
7688,AR7689,R00676
7697,AR7698,R01212
7741,AR7742,R00563
7779,AR7780,R01584
7845,AR7846,R04201
7849,AR7850,R00452
7859,AR7860,R00666
8023,AR8024,R00114
8390,AR8391,R07415
8394,AR8395,R10101
8395,AR8396,R10102
8431,AR8432,R08347
8433,AR8434,R08348
8457,AR8458,R08702
8522,AR8523,R10103
8547,AR8548,R01710
8549,AR8550,R00250
8550,AR8551,R00366
8551,AR8552,R05861
8552,AR8553,R06124
8553,AR8554,R00447
8554,AR8555,R07598
8555,AR8556,R00357
8556,AR8557,R02923
8560,AR8561,R00648
8561,AR8562,R02457
8563,AR8564,R00677
8564,AR8565,R00689
8565,AR8566,R00729
8569,AR8570,R01151
8579,AR8580,R01469
8581,AR8582,R05862
8582,AR8583,R00610
8584,AR8585,R06154
8590,AR8591,R01914
8591,AR8592,R09077
8598,AR8599,R01853
8600,AR8601,R02150
8601,AR8602,R02173
8603,AR8604,R02197
8615,AR8616,R09495
8617,AR8618,R02382
8621,AR8622,R02532
8625,AR8626,R02233
8629,AR8630,R09074
8633,AR8634,R00277
8637,AR8638,R11177
8639,AR8640,R09076
8640,AR8641,R02908
8641,AR8642,R02919
8649,AR8650,R07400
8652,AR8653,R03139
8658,AR8659,R01564
8660,AR8661,R09075
8671,AR8672,R03202
8699,AR8700,R06740
8713,AR8714,R02529
8749,AR8750,R03899
8759,AR8760,R04025
8766,AR8767,R05334
8769,AR8770,R00612
8798,AR8799,R01264
8827,AR8828,R04239
8841,AR8842,R04300
8900,AR8901,R04674
8913,AR8914,R02613
8922,AR8923,R04890
8923,AR8924,R04894
8925,AR8926,R04893
9026,AR9027,R08346
9104,AR9105,R05863
9161,AR9162,R00481
9162,AR9163,R07463
9164,AR9165,R09560
9166,AR9167,R03425
9167,AR9168,R07408
9168,AR9169,R03249
9169,AR9170,R03314
9170,AR9171,R04443
9171,AR9172,R04446
9172,AR9173,R10013
9173,AR9174,R07478
9182,AR9183,R07477
9183,AR9184,R00936
9184,AR9185,R02201
9187,AR9188,R02235
9188,AR9189,R01246
9189,AR9190,R01248
9190,AR9191,R10332
9192,AR9193,R03291
9193,AR9194,R03614
9196,AR9197,R04339
9204,AR9205,R05878
9207,AR9208,R10730
9208,AR9209,R00939
9209,AR9210,R01249
9210,AR9211,R01251
9212,AR9213,R11765
9214,AR9215,R02203
9216,AR9217,R02236
9218,AR9219,R03293
9219,AR9220,R03388
9223,AR9224,R04340
9229,AR9230,R08510
9235,AR9236,R01218
9236,AR9237,R01220
9238,AR9239,R07168
9241,AR9242,R01224
9243,AR9244,R01937
9244,AR9245,R01938
9547,AR9548,R09335
9570,AR9571,R10327
9571,AR9572,R10328
9587,AR9588,R00975
9598,AR9599,R05317
9634,AR9635,R02204
9646,AR9647,R02894
9664,AR9665,R04221
10114,AR10115,R09312
10116,AR10117,R02163
10118,AR10119,R03816
10119,AR10120,R11585
10120,AR10121,R03643
10131,AR10132,R09236
10133,AR10134,R07358
10134,AR10135,R05399
10136,AR10137,R09288
10138,AR10139,R08042
10139,AR10140,R08017
10142,AR10143,R08047
10145,AR10146,R04228
10154,AR10155,R05711
10160,AR10161,R08018
10161,AR10162,R08043
10169,AR10170,R04046
10170,AR10171,R00143
10182,AR10183,R08019
10185,AR10186,R08016
10194,AR10195,R00794
10195,AR10196,R00796
10196,AR10197,R00787
10202,AR10203,R09231
10203,AR10204,R09232
10216,AR10217,R08046
10217,AR10218,R08044
10218,AR10219,R08045
10221,AR10222,R09230
10223,AR10224,R09235
10247,AR10248,R01134
10254,AR10255,R02106
10255,AR10256,R01698
10257,AR10258,R03815
10258,AR10259,R03761
10259,AR10260,R02016
10260,AR10261,R03821
10261,AR10262,R08356
10262,AR10263,R05715
10266,AR10267,R09561
10270,AR10271,R00091
10272,AR10273,R00892
10277,AR10278,R00094
10294,AR10295,R09498
10296,AR10297,R01681
10300,AR10301,R02434
10308,AR10309,R02021
10309,AR10310,R07176
10317,AR10318,R00045
10327,AR10328,R08832
10330,AR10331,R08828
10532,AR10533,R00602
10747,AR10748,R03973
10752,AR10753,R03539
10757,AR10758,R08521
10758,AR10759,R08520
10788,AR10789,R08523
10789,AR10790,R08522
10860,AR10861,R03208
10861,AR10862,R03953
10883,AR10884,R09563
10889,AR10890,R00274
10899,AR10900,R00052
10907,AR10908,R09505
10914,AR10915,R00009
10915,AR10916,R06839
10916,AR10917,R05248
10917,AR10918,R05245
10918,AR10919,R05257
10919,AR10920,R05278
10921,AR10922,R05295
10922,AR10923,R05404
10923,AR10924,R08114
10924,AR10925,R08115
10925,AR10926,R09214
10926,AR10927,R10521
10927,AR10928,R01507
10928,AR10929,R01632
10930,AR10931,R04258
10931,AR10932,R00817
10933,AR10934,R05246
10934,AR10935,R02665
10936,AR10937,R03365
10937,AR10938,R03462
10938,AR10939,R03550
10939,AR10940,R04061
10940,AR10941,R04089
10941,AR10942,R04597
10942,AR10943,R04602
10943,AR10944,R00816
10944,AR10945,R01631
10945,AR10946,R01506
10946,AR10947,R05405
10947,AR10948,R05407
10948,AR10949,R05299
10949,AR10950,R04376
10950,AR10951,R03303
10951,AR10952,R02075
10952,AR10953,R02076
10953,AR10954,R05406
10954,AR10955,R05409
10955,AR10956,R05412
10956,AR10957,R05411
10957,AR10958,R05413
10958,AR10959,R05415
10959,AR10960,R06788
10960,AR10961,R06833
10961,AR10962,R07691
10962,AR10963,R07801
10963,AR10964,R07827
10964,AR10965,R09134
10965,AR10966,R09237
10966,AR10967,R09272
10967,AR10968,R09276
10968,AR10969,R10110
10969,AR10970,R00678
10970,AR10971,R03097
10971,AR10972,R02702
10972,AR10973,R02909
10973,AR10974,R03628
10974,AR10975,R04032
10975,AR10976,R03466
10976,AR10977,R05256
10979,AR10980,R07364
10980,AR10981,R07702
10981,AR10982,R02519
10982,AR10983,R02656
10983,AR10984,R03891
11003,AR11004,R06952
11005,AR11006,R09782
11006,AR11007,R06953
11022,AR11023,R06886
11043,AR11044,R09163
11044,AR11045,R09206
11054,AR11055,R09601
11059,AR11060,R09682
11065,AR11066,R10560
11068,AR11069,R10844
11092,AR11093,R10559
11094,AR11095,R00032
11113,AR11114,R00043
11122,AR11123,R10843
11123,AR11124,R10192
11128,AR11129,R00893
11131,AR11132,R02467
11132,AR11133,R01184
11134,AR11135,R04117
11135,AR11136,R03246
11136,AR11137,R09565
11137,AR11138,R05719
11138,AR11139,R05720
11139,AR11140,R00983
11140,AR11141,R09125
11178,AR11179,R07975
11179,AR11180,R07973
11195,AR11196,R07961
11196,AR11197,R07963
11197,AR11198,R07971
11198,AR11199,R07954
11199,AR11200,R07955
11315,AR11316,R07959
11316,AR11317,R07957
11452,AR11453,R07965
11456,AR11457,R07967
11457,AR11458,R07969
11752,AR11753,R00559
11755,AR11756,R00449
11757,AR11758,R00679
11758,AR11759,R00690
12169,AR12170,R05320
12518,AR12519,R09131
12522,AR12523,R05622
12524,AR12525,R09555
12527,AR12528,R05291
12530,AR12531,R03440
12539,AR12540,R05262
12540,AR12541,R05264
12558,AR12559,R09130
12559,AR12560,R09201
12562,AR12563,R07188
12563,AR12564,R06783
12565,AR12566,R02968
12566,AR12567,R03543
12567,AR12568,R05290
12568,AR12569,R03559
12569,AR12570,R03630
12570,AR12571,R03439
12571,AR12572,R08101
12572,AR12573,R08109
12573,AR12574,R08110
12575,AR12576,R06782
12576,AR12577,R05148
12577,AR12578,R05157
12578,AR12579,R05247
12579,AR12580,R05261
12580,AR12581,R05263
12581,AR12582,R06831
12583,AR12584,R07799
12584,AR12585,R06856
12585,AR12586,R05417
12586,AR12587,R05429
12587,AR12588,R05440
12588,AR12589,R05665
12589,AR12590,R05423
12592,AR12593,R08104
12593,AR12594,R08103
12594,AR12595,R05843
12598,AR12599,R08108
12599,AR12600,R08100
12600,AR12601,R09159
12601,AR12602,R09227
12604,AR12605,R05428
12606,AR12607,R07704
12608,AR12609,R09204
12610,AR12611,R06909
12611,AR12612,R06919
12612,AR12613,R06937
12613,AR12614,R06930
12614,AR12615,R05156
12653,AR12654,R03306
12669,AR12670,R05294
12672,AR12673,R01636
12679,AR12680,R05736
12680,AR12681,R06265
12701,AR12702,R04675
12702,AR12703,R05732
12703,AR12704,R04699
12704,AR12705,R04702
12705,AR12706,R04708
12726,AR12727,R03611
12729,AR12730,R08760
12735,AR12736,R07204
12738,AR12739,R04826
12745,AR12746,R07205
12763,AR12764,R04853
12776,AR12777,R02517
12789,AR12790,R04902
12800,AR12801,R04984
12804,AR12805,R04987
12805,AR12806,R06146
12820,AR12821,R06538
12831,AR12832,R04256
12838,AR12839,R03556
12840,AR12841,R07202
12841,AR12842,R06291
12885,AR12886,R10795
12890,AR12891,R05727
12895,AR12896,R06607
12917,AR12918,R05463
12918,AR12919,R05522
12920,AR12921,R05521
12941,AR12942,R09405
12942,AR12943,R09404
12946,AR12947,R08313
12950,AR12951,R08275
12962,AR12963,R08285
12963,AR12964,R08294
12970,AR12971,R09867
12972,AR12973,R08327
12973,AR12974,R08325
12974,AR12975,R08326
12997,AR12998,R06683
13027,AR13028,R09454
13030,AR13031,R09461
13071,AR13072,R09815
13073,AR13074,R10921
13076,AR13077,R10540
13131,AR13132,R09122
13136,AR13137,R05855
13175,AR13176,R09934
13187,AR13188,R08032
13194,AR13195,R07711
13195,AR13196,R08002
13214,AR13215,R08784
13337,AR13338,R11212
13362,AR13363,R09042
13423,AR13424,R07421
13468,AR13469,R06526
13473,AR13474,R09576
13475,AR13476,R06691
13519,AR13520,R06890
13547,AR13548,R10875
13602,AR13603,R07370
13658,AR13659,R07470
13668,AR13669,R07191
13670,AR13671,R07209
13674,AR13675,R07372
13693,AR13694,R09423
13694,AR13695,R09421
13695,AR13696,R10023
13700,AR13701,R09549
13704,AR13705,R07786
13705,AR13706,R07787
13706,AR13707,R07791
13707,AR13708,R07792
13708,AR13709,R07474
13718,AR13719,R08851
13739,AR13740,R08274
13740,AR13741,R08270
13761,AR13762,R09935
13798,AR13799,R08727
13815,AR13816,R08775
13840,AR13841,R08922
13850,AR13851,R09862
13851,AR13852,R09460
13853,AR13854,R09864
13854,AR13855,R09866
13868,AR13869,R10877
13879,AR13880,R09453
13882,AR13883,R09441
13887,AR13888,R09424
13888,AR13889,R09425
13903,AR13904,R09580
13905,AR13906,R09584
13918,AR13919,R10313
13926,AR13927,R09861
13927,AR13928,R09868
13932,AR13933,R10025
13933,AR13934,R10028
13934,AR13935,R10032
13955,AR13956,R10317
13956,AR13957,R10315
13957,AR13958,R10321
13959,AR13960,R10373
13960,AR13961,R10359
13961,AR13962,R10357
13963,AR13964,R10366
13964,AR13965,R10362
13977,AR13978,R10591
13981,AR13982,R10656
13982,AR13983,R10662
13989,AR13990,R10725
13996,AR13997,R10794
14003,AR14004,R10923
14009,AR14010,R06561
14010,AR14011,R07776
14031,AR14032,R08961
14032,AR14033,R03408
14034,AR14035,R03638
14035,AR14036,R03639
14044,AR14045,R02356
14045,AR14046,R02355
14047,AR14048,R08761
14068,AR14069,R02178
14073,AR14074,R02442
14075,AR14076,R02449
14077,AR14078,R06851
14103,AR14104,R00815
14118,AR14119,R01295
14119,AR14120,R10031
14121,AR14122,R01463
14124,AR14125,R07207
14126,AR14127,R08505
14128,AR14129,R01960
14136,AR14137,R02254
14138,AR14139,R02253
14153,AR14154,R09452
14161,AR14162,R05441
14184,AR14185,R07710
14185,AR14186,R10045
14195,AR14196,R06537
14204,AR14205,R01298
14227,AR14228,R01628
14228,AR14229,R06573
14235,AR14236,R03124
14239,AR14240,R10027
14247,AR14248,R06525
14253,AR14254,R04342
14257,AR14258,R10258
14259,AR14260,R08815
14260,AR14261,R06560
14261,AR14262,R03006
14290,AR14291,R00448
14308,AR14309,R10789
14310,AR14311,R09583
14314,AR14315,R09579
14316,AR14317,R00730
14323,AR14324,R09451
14326,AR14327,R02468
14327,AR14328,R02469
14328,AR14329,R02470
14341,AR14342,R07369
14343,AR14344,R08392
14344,AR14345,R08390
14357,AR14358,R07054
14358,AR14359,R07046
14359,AR14360,R07041
14382,AR14383,R11358
14386,AR14387,R02339
14403,AR14404,R06308
14404,AR14405,R06309
14405,AR14406,R07208
14415,AR14416,R08943
14425,AR14426,R06688
14433,AR14434,R09515
14437,AR14438,R05250
14438,AR14439,R05249
14443,AR14444,R03089
14446,AR14447,R03090
14462,AR14463,R03560
14464,AR14465,R03562
14467,AR14468,R03566
14472,AR14473,R03568
14474,AR14475,R03608
14482,AR14483,R07440
14484,AR14485,R09812
14507,AR14508,R08267
14508,AR14509,R08271
14523,AR14524,R03610
14524,AR14525,R09516
14526,AR14527,R06690
14528,AR14529,R10077
14537,AR14538,R10260
14540,AR14541,R05877
14549,AR14550,R08203
14555,AR14556,R03866
14573,AR14574,R06464
14574,AR14575,R10626
14605,AR14606,R10728
14608,AR14609,R05828
14609,AR14610,R05832
14626,AR14627,R06294
14629,AR14630,R06296
14630,AR14631,R06351
14642,AR14643,R08304
14643,AR14644,R08303
14663,AR14664,R05270
14682,AR14683,R06582
14698,AR14699,R06572
14724,AR14725,R04460
14725,AR14726,R07203
14736,AR14737,R09198
14745,AR14746,R07371
14746,AR14747,R03997
14769,AR14770,R02708
14791,AR14792,R03452
14834,AR14835,R05738
14876,AR14877,R03299
14877,AR14878,R02515
14966,AR14967,R05450
14983,AR14984,R05266
14994,AR14995,R05158
15042,AR15043,R05288
15075,AR15076,R05487
15080,AR15081,R05448
15085,AR15086,R05425
15104,AR15105,R05443
15108,AR15109,R05442
15154,AR15155,R05422
15205,AR15206,R07568
15207,AR15208,R07559
15208,AR15209,R07562
15209,AR15210,R07561
15527,AR15528,R06945
15540,AR15541,R05655
15546,AR15547,R06786
15551,AR15552,R05734
15678,AR15679,R06787
15704,AR15705,R06884
15713,AR15714,R06916
15893,AR15894,R07569
15894,AR15895,R07570
15895,AR15896,R07572
15896,AR15897,R07851
16085,AR16086,R09148
16155,AR16156,R09860
16203,AR16204,R10467
16217,AR16218,R10702
16240,AR16241,R04130
16307,AR16308,R10043
16323,AR16324,R02354
16332,AR16333,R02383
16334,AR16335,R10790
16365,AR16366,R03964
16370,AR16371,R07709
16393,AR16394,R03637
16467,AR16468,R05281
16527,AR16528,R01296
16635,AR16636,R02589
16640,AR16641,R09859
16654,AR16655,R02698
16659,AR16660,R03088
16669,AR16670,R02830
16672,AR16673,R05273
16684,AR16685,R03023
16694,AR16695,R03369
16697,AR16698,R10042
16739,AR16740,R03476
16759,AR16760,R05666
16762,AR16763,R07665
16777,AR16778,R11347
16785,AR16786,R07558
16962,AR16963,R04366
16971,AR16972,R04501
17010,AR17011,R07530
17095,AR17096,R10181
17102,AR17103,R01299
17109,AR17110,R01630
17112,AR17113,R02562
17154,AR17155,R09818
17186,AR17187,R06915
17190,AR17191,R06939
17191,AR17192,R06936
17217,AR17218,R05632
17224,AR17225,R01297
17231,AR17232,R01629
17236,AR17237,R02561
17241,AR17242,R00818
17245,AR17246,R08764
17294,AR17295,R05866
17302,AR17303,R07068
17303,AR17304,R07066
17315,AR17316,R07089
17316,AR17317,R07022
17322,AR17323,R07075
17325,AR17326,R07085
17331,AR17332,R10925
17332,AR17333,R08148
17333,AR17334,R09406
17336,AR17337,R10879
17337,AR17338,R10878
17341,AR17342,R09416
17342,AR17343,R09418
17346,AR17347,R10350
17347,AR17348,R10351
17356,AR17357,R01453
17357,AR17358,R07051
17358,AR17359,R07052
17359,AR17360,R07050
17360,AR17361,R07048
17362,AR17363,R09389
17364,AR17365,R09838
17366,AR17367,R02874
17367,AR17368,R08391
17369,AR17370,R07000
17374,AR17375,R07055
17375,AR17376,R07056
17385,AR17386,R07016
17387,AR17388,R04789
17388,AR17389,R07199
17392,AR17393,R07098
17394,AR17395,R09408
17395,AR17396,R08312
17398,AR17399,R07079
17399,AR17400,R07080
17405,AR17406,R07200
17419,AR17420,R07081
17420,AR17421,R07087
17423,AR17424,R09442
17433,AR17434,R06406
17434,AR17435,R09141
17435,AR17436,R11901
17442,AR17443,R06947
17465,AR17466,R05653
17466,AR17467,R05654
17467,AR17468,R05729
17527,AR17528,R05444
17539,AR17540,R06398
17547,AR17548,R06946
17552,AR17553,R02823
17573,AR17574,R06892
17574,AR17575,R07422
17575,AR17576,R06388
17576,AR17577,R06386
17582,AR17583,R06400
17592,AR17593,R07201
17608,AR17609,R10155
17609,AR17610,R10154
17611,AR17612,R10477
17612,AR17613,R10478
17613,AR17614,R08205
17623,AR17624,R02210
17624,AR17625,R02231
17626,AR17627,R02554
17630,AR17631,R08925
17631,AR17632,R02995
17632,AR17633,R03281
17633,AR17634,R06622
17651,AR17652,R10044
17666,AR17667,R03712
17671,AR17672,R04523
17672,AR17673,R08266
17675,AR17676,R07373
17677,AR17678,R05623
17679,AR17680,R03344
17718,AR17719,R00980
19248,AR19249,R03982
19740,AR19741,R00828
19812,AR19813,R04854
19813,AR19814,R04855
20349,AR20350,R01454
20350,AR20351,R02723
20364,AR20365,R02725
20380,AR20381,R02218
20449,AR20450,R03329
20519,AR20520,R03851
20602,AR20603,R04850
20603,AR20604,R02843
20935,AR20936,R07213
20936,AR20937,R10729
20937,AR20938,R07211
20938,AR20939,R07212
21301,AR21302,R01115
21306,AR21307,R08505
21313,AR21314,R01803
21333,AR21334,R02879
21570,AR21571,R05321
21616,AR21617,R09937
21617,AR21618,R09936
21618,AR21619,R08209
21620,AR21621,R07978
21622,AR21623,R07977
21623,AR21624,R07979
21624,AR21625,R07942
21629,AR21630,R02107
21638,AR21639,R00069
21679,AR21680,R02014
21680,AR21681,R02017
21681,AR21682,R02018
21683,AR21684,R02019
21684,AR21685,R02020
21686,AR21687,R02022
21687,AR21688,R02023
21691,AR21692,R02024
21697,AR21698,R04315
21708,AR21709,R04294
