,ec,cofactor,rn
557,1.18.1.7,fes_2Fe_2S,R05427
558,1.18.1.7,fes_2Fe_2S,R06909
559,1.18.1.7,fes_2Fe_2S,R06930
560,1.18.1.7,fes_2Fe_2S,R06937
561,1.18.1.7,fes_2Fe_2S,R07704
562,1.18.1.7,fes_2Fe_2S,R07709
563,1.18.1.7,fes_2Fe_2S,R07710
564,1.18.1.7,fes_2Fe_2S,R09159
565,1.18.6.1,fes_4Fe_4S,R00002
566,1.18.6.1,fes_4Fe_4S,R00067
567,1.18.6.1,fes_4Fe_4S,R00153
568,1.18.6.1,fes_4Fe_4S,R02802
569,1.18.6.1,fes_4Fe_4S,R04782
570,1.18.6.1,fes_4Fe_4S,R05185
571,1.18.6.1,fes_4Fe_4S,R05496
572,1.18.6.1,fe,R00002
573,1.18.6.1,fe,R00067
574,1.18.6.1,fe,R00153
575,1.18.6.1,fe,R02802
576,1.18.6.1,fe,R04782
577,1.18.6.1,fe,R05185
578,1.18.6.1,fe,R05496
579,1.19.6.1,fes_4Fe_4S,R05186
580,1.19.6.1,fe,R05186
581,1.2.1.2,fe,R00519
582,1.2.1.2,fes,R00519
583,1.2.1.43,fe,R00134
584,1.2.1.58,fe,R02450
585,1.2.1.58,fes,R02450
586,1.2.2.4,fes_2Fe_2S,R00276
587,1.2.2.4,fes_2Fe_2S,R04698
588,1.2.3.1,fes_2Fe_2S,R00635
589,1.2.3.1,fes_2Fe_2S,R01709
590,1.2.3.1,fes_2Fe_2S,R02125
591,1.2.3.1,fes_2Fe_2S,R02657
592,1.2.3.1,fes_2Fe_2S,R03871
593,1.2.3.1,fes_2Fe_2S,R04085
594,1.2.3.1,fes_2Fe_2S,R04904
595,1.2.3.1,fes_2Fe_2S,R08349
596,1.2.3.1,fes_2Fe_2S,R08384
597,1.2.3.1,fes_2Fe_2S,R08408
598,1.2.3.4,mn,R00273
599,1.2.3.7,fe,R02681
600,1.2.7.1,fes_4Fe_4S,R01196
601,1.2.7.1,fes_4Fe_4S,R01199
602,1.2.7.1,fes_4Fe_4S,R08034
603,1.2.7.1,fes_4Fe_4S,R10866
604,1.2.7.10,fes_4Fe_4S,R09486
605,1.2.7.11,fes_4Fe_4S,R10516
606,1.2.7.3,fes_4Fe_4S,R01197
607,1.2.7.4,fe,R07157
608,1.2.7.4,fe,R08034
609,1.2.7.4,fe,R09317
610,1.2.7.5,fe,R07158
611,1.2.7.5,fe,R08571
612,1.2.7.5,fes,R07158
613,1.2.7.5,fes,R08571
614,1.2.7.6,fe,R07159
615,1.2.7.6,fes,R07159
616,1.2.7.7,fe,R07160
617,1.2.7.7,fe,R08566
618,1.2.7.7,fe,R08567
619,1.2.7.7,fes,R07160
620,1.2.7.7,fes,R08566
621,1.2.7.7,fes,R08567
622,1.2.7.8,fes_4Fe_4S,R07161
623,1.2.99.2,fes_4Fe_4S,R00296
624,1.2.99.2,fes_4Fe_4S,R07157
625,1.2.99.2,fes_4Fe_4S,R08034
626,1.2.99.7,fes_2Fe_2S,R00544
627,1.2.99.7,fes_2Fe_2S,R00638
628,1.2.99.8,fe,R10324
629,1.2.99.8,fes,R10324
630,1.20.2.1,fe,R09787
631,1.20.2.1,fes,R09787
632,1.20.9.1,fes_2Fe_2S,R05751
633,1.20.9.1,fes_2Fe_2S,R09787
634,1.20.9.1,fes_3Fe_4S,R05751
635,1.20.9.1,fes_3Fe_4S,R09787
636,1.21.3.2,fe,R00044
637,1.21.3.9,fe,R09566
638,1.3.1.1,fe,R00977
639,1.3.1.1,fe,R01414
640,1.3.1.1,fes,R00977
641,1.3.1.1,fes,R01414
642,1.3.1.14,fes_2Fe_2S,R01869
643,1.3.1.14,fe,R01869
644,1.3.1.14,fes,R01869
645,1.3.1.31,fe,R01689
646,1.3.1.31,fe,R02252
647,1.3.1.31,fes,R01689
648,1.3.1.31,fes,R02252
649,1.3.1.5,fe,R03763
650,1.3.1.5,fe,R03764
651,1.3.1.5,mn,R03763
652,1.3.1.5,mn,R03764
653,1.3.1.76,fe,R02864
654,1.3.1.76,fe,R03194
655,1.3.1.76,fe,R03947
656,1.3.1.80,fe,R09032
657,1.3.5.1,fe,R02164
658,1.3.5.1,fes,R02164
659,1.3.7.4,fes_2Fe_2S,R03678
660,1.3.7.4,fes_4Fe_4S,R03678
661,1.3.7.7,fes_4Fe_4S,R06282
662,1.3.7.7,fe,R06282
663,1.3.7.8,fe,R00283
664,1.3.7.8,fe,R02451
665,1.3.7.8,mn,R00283
666,1.3.7.8,mn,R02451
667,1.3.7.8,fes,R00283
668,1.3.7.8,fes,R02451
669,1.3.7.9,fes_4Fe_4S,R05316
670,1.3.7.9,fe,R05316
671,1.3.7.9,fes,R05316
672,1.3.99.19,fe,R05183
673,1.3.99.22,fes_4Fe_4S,R06895
674,1.3.99.35,fes_4Fe_4S,R09053
675,1.3.99.35,fes_4Fe_4S,R09060
676,1.4.1.13,fes_3Fe_4S,R00093
677,1.4.1.13,fes_3Fe_4S,R00114
678,1.4.1.13,fes_3Fe_4S,R00248
679,1.4.1.13,fes_3Fe_4S,R00256
680,1.4.1.13,fes_4Fe_4S,R00093
681,1.4.1.13,fes_4Fe_4S,R00114
682,1.4.1.13,fes_4Fe_4S,R00248
683,1.4.1.13,fes_4Fe_4S,R00256
684,1.4.5.1,fe,R09493
685,1.4.5.1,fes,R09493
686,1.4.7.1,fes_3Fe_4S,R00021
687,1.4.7.1,fes_3Fe_4S,R00256
688,1.4.7.1,fes_3Fe_4S,R10086
689,1.5.3.22,fe,R10602
690,1.5.5.1,fe,R04433
691,1.5.5.1,fes,R04433
692,1.5.7.1,fe,R01217
693,1.5.7.1,fes,R01217
694,1.5.7.2,fe,R10603
695,1.5.7.2,fes,R10603
696,1.5.8.1,fes_4Fe_4S,R01588
697,1.5.8.1,fes_4Fe_4S,R02511
698,1.5.8.2,fes_4Fe_4S,R01588
699,1.5.8.2,fes_4Fe_4S,R02511
700,1.5.99.15,fe,R10802
701,1.5.99.15,fes,R10802
702,1.6.5.3,fe,R02163
703,1.6.5.3,fe,R02166
704,1.6.5.3,fes,R02163
705,1.6.5.3,fes,R02166
706,1.6.5.8,fes_2Fe_2S,R02163
707,1.6.5.8,fe,R02163
708,1.6.5.8,fes,R02163
709,1.6.99.3,fe,R00281
710,1.6.99.3,fes,R00281
711,1.7.1.1,fe,R00794
712,1.7.1.1,fe,R00796
713,1.7.1.1,fes,R00794
714,1.7.1.1,fes,R00796
715,1.7.1.15,fe,R00787
716,1.7.1.15,fes,R00787
717,1.7.1.2,fe,R00794
718,1.7.1.2,fe,R00796
719,1.7.1.2,fes,R00794
720,1.7.1.2,fes,R00796
721,1.7.1.3,fe,R00794
722,1.7.1.3,fe,R00796
723,1.7.1.3,fes,R00794
724,1.7.1.3,fes,R00796
725,1.7.1.4,fe,R00787
726,1.7.1.4,fe,R00789
727,1.7.1.4,fes,R00787
728,1.7.1.4,fes,R00789
729,1.7.2.5,fe,R00294
730,1.7.3.6,fe,R10230
731,1.7.5.1,fe,R09497
732,1.7.5.1,fes,R09497
733,1.7.7.1,fes_4Fe_4S,R00790
734,1.7.7.1,fe,R00790
735,1.7.7.2,fe,R00791
736,1.7.7.2,fes,R00791
737,1.7.99.4,fe,R00798
738,1.7.99.4,fe,R01106
739,1.7.99.4,fe,R02165
740,1.8.1.19,fe,R10512
741,1.8.1.19,fes,R10512
742,1.8.1.2,fes_4Fe_4S,R00858
743,1.8.2.4,fes_4Fe_4S,R09500
744,1.8.5.3,fes_4Fe_4S,R09501
745,1.8.7.1,fe,R00859
746,1.8.7.1,fe,R03600
747,1.8.7.2,fes_4Fe_4S,R09502
748,1.8.98.1,fes_4Fe_4S,R04540
749,1.8.98.1,fes_4Fe_4S,R09092
750,1.8.99.2,fe,R00860
751,1.8.99.2,fe,R04927
752,1.8.99.2,fe,R08553
753,1.8.99.3,fe,R00295
754,1.8.99.3,fe,R00861
755,1.8.99.3,fe,R08035
756,1.8.99.3,fes,R00295
757,1.8.99.3,fes,R00861
758,1.8.99.3,fes,R08035
759,1.9.98.1,fe,R05318
760,1.97.1.12,fes_4Fe_4S,R09542
761,1.97.1.4,fe,R04710
762,1.97.1.4,fes,R04710
763,1.97.1.8,fe,R05499
764,1.97.1.8,fe,R05500
765,1.97.1.8,fe,R05501
766,1.97.1.8,fe,R05753
767,1.97.1.8,fes,R05499
768,1.97.1.8,fes,R05500
769,1.97.1.8,fes,R05501
770,1.97.1.8,fes,R05753
771,1.97.1.9,fe,R07229
772,2.1.1.101,mn,R02858
773,2.1.1.106,fes_4Fe_4S,R08547
774,2.1.1.107,fe,R02864
775,2.1.1.107,fe,R03165
776,2.1.1.107,fe,R03194
777,2.1.1.107,fe,R03947
778,2.1.1.107,fe,R03950
779,2.1.1.107,fe,R07237
780,2.1.1.107,fe,R07238
781,2.1.1.12,mn,R00649
782,2.1.1.12,mn,R04772
783,2.3.1.169,fe,R08433
784,2.3.1.169,fe,R09317
785,2.3.1.169,fe,R10243
786,2.3.1.169,fes,R08433
787,2.3.1.169,fes,R09317
788,2.3.1.169,fes,R10243
789,2.4.1.133,mn,R05926
790,2.4.1.134,mn,R05927
791,2.4.1.135,mn,R04607
792,2.4.1.135,mn,R05928
793,2.4.1.14,mn,R00766
794,2.4.1.14,mn,R06073
795,2.4.1.163,mn,R04654
796,2.4.1.163,mn,R04659
797,2.4.1.163,mn,R05975
798,2.4.1.163,mn,R06013
799,2.4.1.164,mn,R04654
800,2.4.1.164,mn,R06013
801,2.4.1.165,mn,R04615
802,2.4.1.165,mn,R06011
803,2.4.1.174,mn,R05929
804,2.4.1.214,mn,R06015
805,2.4.1.214,mn,R09318
806,2.4.1.232,mn,R06986
807,2.4.1.232,mn,R08599
808,2.4.1.246,mn,R08947
809,2.4.1.262,mn,R09636
810,2.4.1.266,mn,R09663
811,2.4.1.285,mn,R08900
812,2.4.1.289,mn,R10175
813,2.4.1.303,mn,R10432
814,2.4.1.304,mn,R10433
815,2.4.1.41,mn,R02183
816,2.4.1.41,mn,R05907
817,2.4.1.79,mn,R05631
818,2.4.1.79,mn,R05962
819,2.4.2.54,mn,R10337
820,2.5.1.101,mn,R10304
821,2.5.1.108,fes_4Fe_4S,R10455
822,2.5.1.17,mn,R01492
823,2.5.1.17,mn,R05220
824,2.5.1.17,mn,R07268
825,2.5.1.21,mn,R00702
826,2.5.1.21,mn,R02872
827,2.5.1.21,mn,R06223
828,2.5.1.32,mn,R02065
829,2.5.1.32,mn,R03824
830,2.5.1.32,mn,R04218
831,2.5.1.32,mn,R05341
832,2.5.1.32,mn,R07270
833,2.5.1.32,mn,R10177
834,2.5.1.32,mn,R10508
835,2.5.1.42,mn,R04520
836,2.5.1.67,mn,R08948
837,2.5.1.68,mn,R08528
838,2.5.1.72,fes_4Fe_4S,R00481
839,2.5.1.72,fes_4Fe_4S,R04292
840,2.5.1.72,fe,R00481
841,2.5.1.72,fe,R04292
842,2.5.1.72,fes,R00481
843,2.5.1.72,fes,R04292
844,2.5.1.77,fes_4Fe_4S,R09396
845,2.5.1.96,mn,R00702
846,2.5.1.96,mn,R07652
847,2.5.1.96,mn,R09793
848,2.5.1.97,mn,R09841
849,2.5.1.99,mn,R02065
850,2.5.1.99,mn,R07270
851,2.5.1.99,mn,R07916
852,2.7.1.148,mn,R05634
853,2.7.1.157,mn,R08967
854,2.7.1.158,fe,R05202
855,2.7.1.26,mn,R00161
856,2.7.1.26,mn,R00549
857,2.7.1.52,fe,R03161
858,2.7.12.2,fe,R00162
859,2.7.12.2,fe,R02584
860,2.7.7.60,mn,R05633
861,2.7.7.60,mn,R05637
862,2.7.7.64,mn,R00289
863,2.7.7.64,mn,R00502
864,2.7.7.64,mn,R01381
865,2.7.7.64,mn,R01471
866,2.7.7.64,mn,R03077
867,2.7.7.64,mn,R08845
868,2.7.7.65,mn,R08057
869,2.7.7.75,mn,R09726
870,2.7.7.75,mn,R09735
871,2.7.8.24,mn,R05794
872,2.7.8.32,mn,R09642
873,2.7.8.38,mn,R10255
874,2.7.8.38,mn,R10441
875,2.7.8.39,mn,R10464
876,2.7.9.2,mn,R00199
877,2.8.1.6,fes_2Fe_2S,R01078
878,2.8.1.6,fes_4Fe_4S,R01078
879,2.8.1.6,fe,R01078
880,2.8.1.6,fes,R01078
881,2.8.1.8,fe,R07767
882,2.8.1.8,fe,R07768
883,2.8.1.8,fes,R07767
884,2.8.1.8,fes,R07768
885,2.8.2.22,mn,R02996
886,2.8.4.3,fes_4Fe_4S,R10645
887,2.8.4.3,fes_4Fe_4S,R10646
888,2.8.4.3,fes_4Fe_4S,R10647
889,2.8.4.4,fes_4Fe_4S,R10652
890,2.8.4.4,fes_4Fe_4S,R10653
891,2.8.4.4,fes_4Fe_4S,R10654
892,2.8.4.4,fe,R10652
893,2.8.4.4,fe,R10653
894,2.8.4.4,fe,R10654
895,2.8.4.5,fes_4Fe_4S,R10649
896,2.8.4.5,fes_4Fe_4S,R10650
897,2.8.4.5,fes_4Fe_4S,R10651
898,3.1.2.30,mn,R00473
899,3.1.2.30,mn,R10612
900,3.1.3.75,mn,R06870
901,3.1.3.75,mn,R06871
902,3.1.3.77,fe,R07392
903,3.1.3.77,fe,R07393
904,3.1.3.77,fe,R07394
905,3.1.3.77,fe,R07395
906,3.1.3.85,mn,R09664
907,3.1.4.52,mn,R08991
908,3.1.4.53,mn,R00191
909,3.1.4.55,mn,R10205
910,3.1.4.56,fe,R10344
911,3.1.4.56,fe,R10345
912,3.1.7.11,mn,R08396
913,3.1.7.5,mn,R08993
914,3.11.1.3,mn,R08200
915,3.4.11.5,mn,R00135
916,3.4.11.5,mn,R00899
917,3.4.11.5,mn,R04951
918,3.4.13.12,mn,R00657
919,3.4.13.18,mn,R01166
920,3.4.13.18,mn,R01992
921,3.5.1.56,fe,R02509
922,3.5.1.57,mn,R00682
923,3.5.2.18,fe,R07984
924,3.5.3.17,mn,R00913
925,3.5.3.2,mn,R00775
926,3.5.3.22,mn,R05357
927,3.5.3.26,mn,R05554
928,3.5.3.7,mn,R01990
929,3.5.3.9,mn,R02423
930,3.5.3.9,mn,R06138
931,3.5.4.39,fe,R10348
932,3.5.4.8,fe,R04731
933,3.6.1.53,mn,R00855
934,3.6.1.53,mn,R01054
935,3.6.1.53,mn,R09538
936,3.6.1.60,mn,R09881
937,3.6.1.60,mn,R09882
938,3.6.1.61,mn,R00184
939,3.6.1.61,mn,R09879
940,3.6.1.61,mn,R09880
941,3.6.1.62,mn,R00961
942,3.6.1.62,mn,R10235
943,3.6.1.62,mn,R10815
944,3.6.2.2,mn,R00507
945,3.6.3.35,mn,R00086
946,4.1.1.2,mn,R00522
947,4.1.1.3,mn,R00217
948,4.1.1.3,mn,R00995
949,4.1.1.82,mn,R04053
950,4.1.1.92,mn,R09488
951,4.1.2.42,mn,R08195
952,4.1.2.42,mn,R08196
953,4.1.2.43,mn,R05338
954,4.1.2.43,mn,R05339
955,4.1.2.43,mn,R08058
956,4.1.2.43,mn,R09780
957,4.1.2.52,mn,R01645
958,4.1.2.52,mn,R01647
959,4.1.3.39,mn,R00750
960,4.1.3.39,mn,R05298
961,4.1.3.41,mn,R09717
962,4.1.3.41,mn,R09718
963,4.1.3.43,mn,R00750
964,4.1.3.43,mn,R05298
965,4.1.3.44,fes_4Fe_4S,R10552
966,4.1.3.46,mn,R10674
967,4.1.99.17,fes_4Fe_4S,R03472
968,4.1.99.18,fes,R09394
969,4.1.99.19,fes_4Fe_4S,R10246
970,4.1.99.20,mn,R10469
971,4.1.99.5,fe,R03728
972,4.1.99.5,fe,R09466
973,4.2.1.112,fes_4Fe_4S,R05380
974,4.2.1.113,mn,R01717
975,4.2.1.113,mn,R04031
976,4.2.1.113,mn,R08165
977,4.2.1.113,mn,R08166
978,4.2.1.114,fes_4Fe_4S,R03444
979,4.2.1.114,fes_4Fe_4S,R04371
980,4.2.1.114,fes_4Fe_4S,R09720
981,4.2.1.114,fes_4Fe_4S,R10391
982,4.2.1.114,fes_4Fe_4S,R10392
983,4.2.1.114,fes_4Fe_4S,R10393
984,4.2.1.114,fes_4Fe_4S,R10394
985,4.2.1.114,fes_4Fe_4S,R10395
986,4.2.1.114,fes_4Fe_4S,R10396
987,4.2.1.118,mn,R01627
988,4.2.1.120,fes_4Fe_4S,R03031
989,4.2.1.120,fes_4Fe_4S,R10782
990,4.2.1.120,fe,R03031
991,4.2.1.120,fe,R10782
992,4.2.1.120,fes,R03031
993,4.2.1.120,fes,R10782
994,4.2.1.152,fe,R10761
995,4.2.1.24,fe,R00036
996,4.2.1.3,fes_4Fe_4S,R01324
997,4.2.1.3,fes_4Fe_4S,R01325
998,4.2.1.3,fes_4Fe_4S,R01900
999,4.2.1.3,fes_4Fe_4S,R04425
1000,4.2.1.3,fe,R01324
1001,4.2.1.3,fe,R01325
1002,4.2.1.3,fe,R01900
1003,4.2.1.3,fe,R04425
1004,4.2.1.3,fes,R01324
1005,4.2.1.3,fes,R01325
1006,4.2.1.3,fes,R01900
1007,4.2.1.3,fes,R04425
1008,4.2.1.32,fe,R00339
1009,4.2.1.33,fe,R03896
1010,4.2.1.33,fe,R03898
1011,4.2.1.33,fe,R03968
1012,4.2.1.33,fe,R04001
1013,4.2.1.33,fe,R08620
1014,4.2.1.33,fe,R08624
1015,4.2.1.33,fe,R08628
1016,4.2.1.33,fe,R08634
1017,4.2.1.33,fe,R08641
1018,4.2.1.33,fe,R08645
1019,4.2.1.33,fe,R08681
1020,4.2.1.33,fe,R10170
1021,4.2.1.33,fe,R10501
1022,4.2.1.33,fes,R03896
1023,4.2.1.33,fes,R03898
1024,4.2.1.33,fes,R03968
1025,4.2.1.33,fes,R04001
1026,4.2.1.33,fes,R08620
1027,4.2.1.33,fes,R08624
1028,4.2.1.33,fes,R08628
1029,4.2.1.33,fes,R08634
1030,4.2.1.33,fes,R08641
1031,4.2.1.33,fes,R08645
1032,4.2.1.33,fes,R08681
1033,4.2.1.33,fes,R10170
1034,4.2.1.33,fes,R10501
1035,4.2.1.35,fe,R03896
1036,4.2.1.35,fe,R03898
1037,4.2.1.35,fe,R03968
1038,4.2.1.35,fe,R04001
1039,4.2.1.35,fe,R10170
1040,4.2.1.36,fes_4Fe_4S,R04371
1041,4.2.1.44,mn,R02782
1042,4.2.1.44,mn,R05659
1043,4.2.1.81,fe,R00340
1044,4.2.1.81,mn,R00340
1045,4.2.1.85,fe,R03069
1046,4.2.3.100,mn,R09900
1047,4.2.3.101,mn,R09901
1048,4.2.3.102,mn,R09902
1049,4.2.3.108,mn,R06421
1050,4.2.3.108,mn,R06422
1051,4.2.3.108,mn,R09964
1052,4.2.3.113,mn,R02010
1053,4.2.3.114,mn,R09969
1054,4.2.3.115,mn,R09970
1055,4.2.3.116,mn,R09971
1056,4.2.3.119,mn,R05765
1057,4.2.3.119,mn,R05766
1058,4.2.3.120,mn,R05765
1059,4.2.3.120,mn,R05766
1060,4.2.3.121,mn,R09974
1061,4.2.3.15,mn,R02009
1062,4.2.3.16,mn,R02013
1063,4.2.3.20,mn,R06120
1064,4.2.3.24,mn,R07630
1065,4.2.3.25,mn,R07631
1066,4.2.3.26,mn,R07632
1067,4.2.3.27,mn,R08199
1068,4.2.3.36,fe,R09684
1069,4.2.3.36,mn,R09684
1070,4.2.3.38,mn,R08370
1071,4.2.3.41,mn,R09685
1072,4.2.3.55,mn,R09623
1073,4.2.3.77,mn,R09558
1074,4.2.3.9,mn,R02307
1075,4.3.1.16,mn,R05758
1076,4.3.1.17,fe,R00220
1077,4.3.1.17,fe,R00590
1078,4.3.1.17,fe,R00996
1079,4.3.1.17,fe,R06131
1080,4.3.1.17,fe,R08698
1081,4.3.1.17,fes,R00220
1082,4.3.1.17,fes,R00590
1083,4.3.1.17,fes,R00996
1084,4.3.1.17,fes,R06131
1085,4.3.1.17,fes,R08698
1086,4.3.1.19,fe,R00220
1087,4.3.1.19,fe,R00590
1088,4.3.1.19,fe,R00996
1089,4.3.1.19,fe,R06131
1090,4.3.1.19,fes,R00220
1091,4.3.1.19,fes,R00590
1092,4.3.1.19,fes,R00996
1093,4.3.1.19,fes,R06131
1094,4.3.1.20,mn,R00347
1095,4.3.1.20,mn,R06131
1096,4.3.1.27,mn,R09683
1097,4.3.1.30,fes_4Fe_4S,R08583
1098,4.3.99.3,fes_4Fe_4S,R10002
1099,4.4.1.21,fe,R01291
1100,4.4.1.24,fe,R07633
1101,4.6.1.12,mn,R05633
1102,4.6.1.12,mn,R05637
1103,4.6.1.15,mn,R07636
1104,4.7.1.1,fes_4Fe_4S,R10204
1105,4.99.1.5,fe,R02827
1106,4.99.1.7,fe,R07638
1107,5.1.3.31,mn,R10817
1108,5.1.3.31,mn,R10818
1109,5.3.1.25,mn,R03163
1110,5.3.1.3,mn,R01577
1111,5.3.1.3,mn,R03163
1112,5.3.1.4,mn,R01761
1113,5.3.3.2,mn,R01123
1114,5.3.99.11,fe,R09952
1115,5.3.99.11,mn,R09952
1116,5.4.2.12,mn,R01518
1117,5.4.3.9,fes_4Fe_4S,R10153
1118,5.4.4.7,fe,R10766
1119,5.4.99.58,fes_4Fe_4S,R10010
1120,5.5.1.1,mn,R03959
1121,5.5.1.1,mn,R05300
1122,5.5.1.1,mn,R05390
1123,5.5.1.1,mn,R06989
1124,5.5.1.1,mn,R08116
1125,5.5.1.1,mn,R09229
1126,5.5.1.11,mn,R04345
1127,5.5.1.11,mn,R05393
1128,5.5.1.7,mn,R04259
1129,5.5.1.7,mn,R05391
1130,5.5.1.7,mn,R05392
1131,5.5.1.7,mn,R06834
1132,5.5.1.7,mn,R06840
1133,5.5.1.7,mn,R08119
1134,5.5.1.7,mn,R09135
1135,5.5.1.7,mn,R09215
1136,5.5.1.7,mn,R09217
1137,5.5.1.7,mn,R09221
1138,6.4.1.1,mn,R00344
